,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
9,0.24734479188919067,0.0006260043898746496,0.018494784832000732,5.4986988922528534e-05,balanced,gini,5,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7166072934096608,0.7022034826981225,0.7133029825276198,0.7034369408867868,0.7088876748805474,0.006194279176297569,1
6,0.24715614318847656,0.0004327223976818652,0.018530428409576416,4.0374261096681354e-05,balanced,gini,5,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7166072934096608,0.7022034826981225,0.7133029825276198,0.7034369408867868,0.7088876748805474,0.006194279176297569,1
10,0.4874666929244995,0.0006569238252346357,0.033759355545043945,0.00011336533927321285,balanced,gini,5,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7126291622006047,0.7019036031664917,0.713368304665403,0.7063852943260527,0.708571591089638,0.004709413470119406,3
7,0.48880910873413086,0.0004978469668010105,0.03367745876312256,7.827984902929884e-05,balanced,gini,5,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7126291622006047,0.7019036031664917,0.713368304665403,0.7063852943260527,0.708571591089638,0.004709413470119406,3
11,0.9689956903457642,0.0024945621797611726,0.06397175788879395,1.7751380015505534e-05,balanced,gini,5,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7099340283478861,0.7034751342585845,0.7139318464981429,0.7056735782655164,0.7082536468425324,0.004017355153255795,5
8,0.9703992009162903,0.0011724173492229906,0.06395375728607178,0.00019531957355790235,balanced,gini,5,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7099340283478861,0.7034751342585845,0.7139318464981429,0.7056735782655164,0.7082536468425324,0.004017355153255795,5
26,0.97367262840271,0.0032763752357063765,0.06410640478134155,0.00019437741797777124,balanced,entropy,5,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7090666745380048,0.7013000621712717,0.7122447269903692,0.7076932132882205,0.7075761692469666,0.003981841808738695,7
29,0.971389651298523,0.0011405792634504432,0.06409120559692383,0.00013476271426833108,balanced,entropy,5,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7090666745380048,0.7013000621712717,0.7122447269903692,0.7076932132882205,0.7075761692469666,0.003981841808738695,7
35,1.5308618545532227,0.003223935843608181,0.10062205791473389,0.00015451671567335597,balanced,entropy,10,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7105721601841893,0.697090679659294,0.7139713350221135,0.7081726113502566,0.7074516965539633,0.006326795560512519,9
32,1.5230627655982971,0.0036399346644110215,0.10068798065185547,0.00016711246162514913,balanced,entropy,10,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7105721601841893,0.697090679659294,0.7139713350221135,0.7081726113502566,0.7074516965539633,0.006326795560512519,9
33,0.3866254687309265,0.0013033971648503627,0.027748584747314453,4.1934907029673824e-05,balanced,entropy,10,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7090480416049412,0.6976543720055862,0.7170713686796218,0.7057049476537174,0.7073696824859665,0.006965956576886956,11
30,0.38561123609542847,0.00036848925297485157,0.02781766653060913,4.8048997025669054e-05,balanced,entropy,10,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7090480416049412,0.6976543720055862,0.7170713686796218,0.7057049476537174,0.7073696824859665,0.006965956576886956,11
31,0.7668648362159729,0.0019458644354217423,0.05214416980743408,0.00022764608079380998,balanced,entropy,10,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7102722806525585,0.6981782157029505,0.7143073565274899,0.7061856373964441,0.7072358725698608,0.005965940857187725,13
34,0.7696940302848816,0.0012208840370113636,0.05204850435256958,8.428802808003877e-05,balanced,entropy,10,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7102722806525585,0.6981782157029505,0.7143073565274899,0.7061856373964441,0.7072358725698608,0.005965940857187725,13
25,0.49182653427124023,0.0022395745069442594,0.03385120630264282,4.340081829794954e-05,balanced,entropy,5,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7101143619327333,0.702199700766164,0.7109333020377555,0.7050738693734389,0.7070803085275228,0.0036019844965949443,15
28,0.49067240953445435,0.0008650781573008221,0.033947527408599854,0.00018671328841782833,balanced,entropy,5,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7101143619327333,0.702199700766164,0.7109333020377555,0.7050738693734389,0.7070803085275228,0.0036019844965949443,15
27,0.24747318029403687,0.0006929142141101398,0.018663465976715088,3.87018700468508e-05,balanced,entropy,5,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7140924931417892,0.7004876847381519,0.7098237483245056,0.7027217188358045,0.7067814112600628,0.005449766719942598,17
24,0.24681860208511353,0.00035255886392925257,0.01863616704940796,6.729517496561934e-05,balanced,entropy,5,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7140924931417892,0.7004876847381519,0.7098237483245056,0.7027217188358045,0.7067814112600628,0.005449766719942598,17
13,0.7613504528999329,0.003003329496855619,0.05219203233718872,0.00014721216658373362,balanced,gini,10,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7081370572141736,0.699290472667701,0.7143831966366111,0.7039349760559306,0.7064364256436041,0.005553494641385871,19
16,0.7595925331115723,0.0037108732409431976,0.05228704214096069,0.00010727012995961766,balanced,gini,10,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7081370572141736,0.699290472667701,0.7143831966366111,0.7039349760559306,0.7064364256436041,0.005553494641385871,19
17,1.5168594121932983,0.006968997835341686,0.10103023052215576,6.28504341618257e-05,balanced,gini,10,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7097446550232358,0.7001141958966961,0.713371626130036,0.7017671668054302,0.7062494109638495,0.005492587198307434,21
14,1.5191345810890198,0.00558354371201063,0.10108840465545654,0.00014319457374203503,balanced,gini,10,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7097446550232358,0.7001141958966961,0.713371626130036,0.7017671668054302,0.7062494109638495,0.005492587198307434,21
22,0.37138640880584717,0.0004400534509997489,0.029421508312225342,5.402019300408263e-05,balanced,entropy,3,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7061912071004389,0.6992046873818146,0.7107781158290671,0.7032024085785313,0.704844104722463,0.004228633550009249,23
19,0.3713069558143616,0.00013779102386210726,0.029426276683807373,3.6056573477059306e-05,balanced,entropy,3,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7061912071004389,0.6992046873818146,0.7107781158290671,0.7032024085785313,0.704844104722463,0.004228633550009249,23
15,0.3808997869491577,0.0008639582459402805,0.02785724401473999,0.0001173587908210822,balanced,gini,10,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7090404777410244,0.6911291557436476,0.713107938743335,0.7052825680678818,0.7046400350739723,0.008276865305574258,25
12,0.381394624710083,0.0021238164832596837,0.0277976393699646,0.00010758086901027191,balanced,gini,10,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7090404777410244,0.6911291557436476,0.713107938743335,0.7052825680678818,0.7046400350739723,0.008276865305574258,25
23,0.7397327423095703,0.006783684248951729,0.055769264698028564,0.0005588049696708028,balanced,entropy,3,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7022927731892387,0.6988288924842865,0.7107746098386212,0.7049980292643176,0.704223576194116,0.004368822265271468,27
20,0.7344272136688232,0.0007031888123296239,0.05529576539993286,5.792329575630118e-05,balanced,entropy,3,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7022927731892387,0.6988288924842865,0.7107746098386212,0.7049980292643176,0.704223576194116,0.004368822265271468,27
5,0.7352895736694336,0.0004746929177777478,0.05504190921783447,0.00010026181614091901,balanced,gini,3,log2,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7016930141259771,0.6983809641528196,0.7102904141054484,0.7046620077589414,0.7037566000357965,0.004377965777489165,29
2,0.7360265254974365,0.0003992847843018517,0.05518031120300293,0.00018354917202465627,balanced,gini,3,sqrt,200,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7016930141259771,0.6983809641528196,0.7102904141054484,0.7046620077589414,0.7037566000357965,0.004377965777489165,29
4,0.3711674213409424,0.0002330515085737694,0.02920621633529663,2.5031892941679882e-05,balanced,gini,3,log2,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.703795952779351,0.698792825767317,0.7090186622026182,0.7030542343507349,0.7036654187750053,0.003632835096058403,31
1,0.37195152044296265,0.00031239432332206,0.029284954071044922,9.761923455405783e-05,balanced,gini,3,sqrt,100,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.703795952779351,0.698792825767317,0.7090186622026182,0.7030542343507349,0.7036654187750053,0.003632835096058403,31
3,0.18881607055664062,0.00012390003616899434,0.016620159149169922,7.162345705299284e-05,balanced,gini,3,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7031316241460674,0.698196848636014,0.703154616392978,0.6995423390787291,0.7010063570634472,0.0021890902552648473,33
0,0.18932145833969116,0.0001572197783707879,0.01664257049560547,6.023667931113507e-05,balanced,gini,3,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7031316241460674,0.698196848636014,0.703154616392978,0.6995423390787291,0.7010063570634472,0.0021890902552648473,33
21,0.18884795904159546,0.0002484221130923486,0.01678401231765747,8.604505957882509e-05,balanced,entropy,3,log2,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7031676908630369,0.6979691025383221,0.7019878596777146,0.6997628474252007,0.7007218751260686,0.0020051323245043255,35
18,0.18869853019714355,0.0003980776780794366,0.016783297061920166,3.6314591475085495e-05,balanced,entropy,3,sqrt,50,1234,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7031676908630369,0.6979691025383221,0.7019878596777146,0.6997628474252007,0.7007218751260686,0.0020051323245043255,35
