,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
1,21.221946835517883,0.2609916491516042,2.8508419394493103,0.008376083159919088,1,3,poly,1234,"{'C': 1, 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.7275928860714914,0.7367494277161472,0.7363508277562522,0.7319478689679465,0.7331602526279593,0.0037258352075773674,1
2,35.81470477581024,0.29549134071370914,3.6080804467201233,0.005296434319755362,1,5,poly,1234,"{'C': 1, 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.7207254798379996,0.7249515759816869,0.7273687918281085,0.7291299753434308,0.7255439557478065,0.0031527046777676043,2
4,40.82226359844208,2.2945072866585137,2.794737458229065,0.4233119635682931,5,3,poly,1234,"{'C': 5, 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.7115689381933439,0.7209015671773199,0.716273335681578,0.7166255723846425,0.716342353359221,0.003303668394419967,3
5,66.99038505554199,2.928885138551219,3.356665551662445,0.18887790551577158,5,5,poly,1234,"{'C': 5, 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.7013558725127663,0.7094558901215002,0.7046495244804508,0.7182106375484325,0.7084179811657876,0.006345234795601382,4
7,74.37447917461395,1.7289544468679723,2.507825493812561,0.06895555519731866,10,3,poly,1234,"{'C': 10, 'degree': 3, 'kernel': 'poly', 'random_state': 1234}",0.7029406585666491,0.7101602394787815,0.7020077492074674,0.7120464952448045,0.7067887856244255,0.004378258861047024,5
8,102.50474977493286,3.531692409149383,3.5474775433540344,0.43749077504809436,10,5,poly,1234,"{'C': 10, 'degree': 5, 'kernel': 'poly', 'random_state': 1234}",0.6934319422433527,0.6958971649938369,0.6942585417400493,0.7048256428319831,0.6971033229523055,0.004545900840331813,6
3,35.523308634757996,2.146324380586651,3.5743236541748047,0.014306874298123879,5,2,poly,1234,"{'C': 5, 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6406057404472618,0.6356752949462934,0.6512856639661853,0.6511095456146531,0.6446690612435984,0.006757545386951246,7
6,59.65942758321762,1.8419381755678952,4.180803418159485,0.3542028614129574,10,2,poly,1234,"{'C': 10, 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6407818277865821,0.6362035569642542,0.6486438886932019,0.649524480450863,0.6437884384737254,0.0055463436093984575,8
0,22.671457946300507,0.3347422462162461,3.6981595754623413,0.027879836777730108,1,2,poly,1234,"{'C': 1, 'degree': 2, 'kernel': 'poly', 'random_state': 1234}",0.6370839936608558,0.6354992076069731,0.6475871785840085,0.6512856639661853,0.6428640109545056,0.006724609285457299,9
